RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,DATA RECUSA,NOTA FISCAL
Gab Auto Posto Ltda,"Avenida Guapira, 1985",Tucuruvi,BRANCA,3.649,-,-,-,06/11/2019,-,Sim
Auto Posto Flecha Dourada Ltda.,"Avenida Marechal Tito, 347",São Miguel Paulista,BRANCA,3.689,-,-,-,05/11/2019,-,Sim
Lord Abastecimento e Lubrificacao Ltda,"Avenida Joaquina Ramalho, 1120",Vl Guilherme,PETROBRAS DISTRIBUIDORA S.A.,3.699,-,-,-,27/11/2019,-,Sim
Posto de Serviço Esplanada Ltda,"Rua Coronel Marcilio Franco, 1046",Vila Izolina Mazzei,BRANCA,3.699,-,-,-,21/11/2019,-,Sim
Juvenal Parada Comercio Varejista de Combustiveis Ltda,"Rua da Mooca, 2884",Mooca,PETROBRAS DISTRIBUIDORA S.A.,3.699,-,-,-,05/11/2019,-,Sim
Auto Posto Portal do Ipiranga Ltda. - Epp,"Rua Barao de Resende, 66",Ipiranga,ALESAT,3.699,-,-,-,12/11/2019,-,Sim
Posto de Serviços Holandes Ltda,"Avenida Nova Cantareira, 4634",Tremembe,ALESAT,3.699,-,-,-,06/11/2019,-,Sim
Auto Posto Vila Diva Ltda,"Avenida Sapopemba, 3577",Vl Diva,BRANCA,3.699,-,-,-,26/11/2019,-,Sim
Yonecar Auto Posto Ltda,"Avenida da Conceicao, 1826",Vila Eleonora,BRANCA,3.699,-,-,-,27/11/2019,-,Sim
Centro Automotivo Passarinho Ltda,"Rua Taquari, 817",Mooca,BRANCA,3.699,-,-,-,05/11/2019,-,Sim
Auto Posto Flint Ltda.,"Rua Demetrio Ribeiro, 137",Cidade Mae do Ceu,IPIRANGA,3.699,-,-,-,05/11/2019,-,Sim
Auto Posto Guadalupe - Vg Ltda.,"Avenida Joaquina Ramalho, 1.099",Vila Guilherme,PETROBRAS DISTRIBUIDORA S.A.,3.699,-,-,-,27/11/2019,-,Sim
Auto Posto Aveiro Ltda,"Aven Rio das Pedras, 3938",Jardim Aricanduva,BRANCA,3.739,3.54,FOB,FERA,19/11/2019,-,Sim
Parking Gas Ltda,"Avenida Imperador, 5470",Vila Verde,BRANCA,3.749,-,-,-,21/11/2019,-,Sim
Auto Posto Casa Nova da Imperador Limitada,"Estrada do Imperador, 3677",Bairro Limoeiro,BRANCA,3.749,3.53,FOB,FERA,21/11/2019,-,Sim
Auto Posto Novo Tucuruvi Ltda,"Avenida Tucuruvi, 105 Terreo",Tucuruvi,BRANCA,3.749,-,-,-,06/11/2019,-,Sim
Auto Posto Exped Vila Granada Ltda,"Avenida Amador Bueno da Veiga, 3135 A",Penha,BRANCA,3.749,3.614,FOB,D`MAIS,05/11/2019,-,Sim
Auto Posto Lorens Eireli,"Avenida do Imperador, 5742 Terreo",Limoeiro,BRANCA,3.749,-,-,-,21/11/2019,-,Sim
Auto Posto Titiana Limitada,"Avenida Amador Bueno da Veiga, 3780",Penha de Franca,BRANCA,3.749,-,-,-,05/11/2019,-,Sim
Auto Posto Rimini Ltda,"Avenida Marechal Tito, 5350",Itaim Paulista,BRANCA,3.749,-,-,-,13/11/2019,-,Sim
Tempus Servicos Automotivos Ltda,"Rua da Coroa, 1810",Vila Guilherme,BRANCA,3.799,-,-,-,21/11/2019,-,Sim
Las Vegas Servicos Automotivos Ltda,"Rua Brig Jordao, 959",Ipiranga,BRANCA,3.799,3.55,FOB,FERA,12/11/2019,-,Sim
Auto Posto Super Santana Eireli,"Rua Doutor Cesar, 303",Santana,BRANCA,3.799,-,-,-,21/11/2019,-,Sim
Auto Posto Portal Edu Chaves Ltda,"Avenida Edu Chaves, 283",Parque Edu Chaves,BRANCA,3.799,-,-,-,06/11/2019,-,Sim
Auto Posto Andrade Rosa Ltda.,"Rua Lopes da Costa, 1212",Chacara Sao Joao,IPIRANGA,3.799,-,-,-,06/11/2019,-,Sim
Auto Posto Manuel Gaya Ltda,"Rua Cassuarinas, 20/32",Vila Nova Mazzei,BRANCA,3.799,-,-,-,06/11/2019,-,Sim
Auto Posto Novo Cantanhede Ltda,"Avenida Sao Miguel, 3981",Vila Rio Branco,BRANCA,3.799,-,-,-,13/11/2019,-,Sim
Posto Jardim Sao Bento Ltda,"Avenida Casa Verde, 1033",Casa Verde,BRANCA,3.799,-,-,-,21/11/2019,-,Sim
Auto Posto Fafa Ltda,"Avenida Conceiçao, 859",Vila Paiva,BRANCA,3.799,-,-,-,27/11/2019,-,Sim
Auto Posto Mkm Ltda.,"Avenida São Miguel, 4681",Parque Boturussu,BRANCA,3.799,-,-,-,22/11/2019,-,Sim
Auto Posto Sentinela Eireli,"Avenida Vila Ema, 1420",Vila Ema,PETROBRAS DISTRIBUIDORA S.A.,3.799,-,-,-,27/11/2019,-,Sim
Auto Posto Cadima Ltda,"Estrada do Lageado Velho, 1499",Guaianazes,BRANCA,3.799,-,-,-,27/11/2019,-,Sim
Nota Super Posto e Serviços Ltda,"Avenida Professor Luiz Ignacio de Anhaia Mello, 8170",Vila Uniao,BRANCA,3.799,-,-,-,26/11/2019,-,Sim
Nova Acurui Auto Posto Ltda,"Rua Acurui, 364",Vila Formosa,BRANCA,3.799,3.54,FOB,FERA,19/11/2019,-,Sim
Gran Penha Servicos Automotivos Ltda,"Avenida Amador Bueno da Veiga, 2035",Penha,BRANCA,3.799,3.619,FOB,TORRAO,06/11/2019,-,Sim
Veneza Auto Posto Ltda,"Avenida do Estado, 5405",Mooca,BRANCA,3.799,3.535,FOB,FERA,13/11/2019,-,Sim
Auto Posto Ozorio Ltda,"Rua Labatut, 848",Ipiranga,ALESAT,3.799,3.57,FOB,-,12/11/2019,-,Sim
