Bairro,Distrito,Divisão,Zona
Jardim Aeroporto,CAMPO BELO,ZONA SUL 1,SUL
Vila Aeroporto,CAMPO BELO,ZONA SUL 1,SUL
Vila Alexandria,CAMPO BELO,ZONA SUL 1,SUL
Jardim Alice,CAMPO BELO,ZONA SUL 1,SUL
Jardim Brasil,CAMPO BELO,ZONA SUL 1,SUL
Brooklin Paulista,CAMPO BELO,ZONA SUL 1,SUL
Brooklin Velho,CAMPO BELO,ZONA SUL 1,SUL
Campo Belo,CAMPO BELO,ZONA SUL 1,SUL
Vila Carmem,CAMPO BELO,ZONA SUL 1,SUL
Parque Colonial,CAMPO BELO,ZONA SUL 1,SUL
Jabaquara,CAMPO BELO,ZONA SUL 1,SUL
Novo Piraju,CAMPO BELO,ZONA SUL 1,SUL
Água Funda,CURSINO,ZONA SUL 1,SUL
Vila Água Funda,CURSINO,ZONA SUL 1,SUL
Conjunto dos Bancários,CURSINO,ZONA SUL 1,SUL
Bosque da Saúde,CURSINO,ZONA SUL 1,SUL
Vila Brasilina,CURSINO,ZONA SUL 1,SUL
Vila Brasílio Machado,CURSINO,ZONA SUL 1,SUL
Cursino,CURSINO,ZONA SUL 1,SUL
Vila Firmiano Pinto,CURSINO,ZONA SUL 1,SUL
Vila Gumercindo,CURSINO,ZONA SUL 1,SUL
Vila Moraes,CURSINO,ZONA SUL 1,SUL
Jardim Previdência,CURSINO,ZONA SUL 1,SUL
Vila Santo Stefano,CURSINO,ZONA SUL 1,SUL
Jardim São Miguel,CURSINO,ZONA SUL 1,SUL
Saúde,CURSINO,ZONA SUL 1,SUL
Jardim da Saúde,CURSINO,ZONA SUL 1,SUL
Vila Simões,CURSINO,ZONA SUL 1,SUL
Alto do Ipiranga,IPIRANGA,ZONA SUL 1,SUL
Vila Brasílio Machado,IPIRANGA,ZONA SUL 1,SUL
Vila Carioca,IPIRANGA,ZONA SUL 1,SUL
Vila Dom Pedro 1º,IPIRANGA,ZONA SUL 1,SUL
Vila Gumercindo,IPIRANGA,ZONA SUL 1,SUL
Heliópolis,IPIRANGA,ZONA SUL 1,SUL
Vila Independência,IPIRANGA,ZONA SUL 1,SUL
Ipiranga,IPIRANGA,ZONA SUL 1,SUL
Vila Monumento,IPIRANGA,ZONA SUL 1,SUL
Vila Nair,IPIRANGA,ZONA SUL 1,SUL
Sacomã,IPIRANGA,ZONA SUL 1,SUL
Vila Santa Eulália,IPIRANGA,ZONA SUL 1,SUL
Vila São José,IPIRANGA,ZONA SUL 1,SUL
Americanópolis,JABAQUARA,ZONA SUL 1,SUL
Jardim Anchieta,JABAQUARA,ZONA SUL 1,SUL
Vila Babilônia,JABAQUARA,ZONA SUL 1,SUL
Jardim Bom Clima,JABAQUARA,ZONA SUL 1,SUL
Vila Campestre,JABAQUARA,ZONA SUL 1,SUL
Vila Canaã,JABAQUARA,ZONA SUL 1,SUL
Vila Capela,JABAQUARA,ZONA SUL 1,SUL
Vila Celeste,JABAQUARA,ZONA SUL 1,SUL
Vila Clara,JABAQUARA,ZONA SUL 1,SUL
Jardim Costa Pereira,JABAQUARA,ZONA SUL 1,SUL
Jardim Cunha Bueno,JABAQUARA,ZONA SUL 1,SUL
Cidade Domitila,JABAQUARA,ZONA SUL 1,SUL
Vila do Encontro,JABAQUARA,ZONA SUL 1,SUL
Vila Facchini,JABAQUARA,ZONA SUL 1,SUL
Vila Guarani,JABAQUARA,ZONA SUL 1,SUL
Jardim Itacolomi,JABAQUARA,ZONA SUL 1,SUL
Jardim Jabaquara,JABAQUARA,ZONA SUL 1,SUL
Jabaquara,JABAQUARA,ZONA SUL 1,SUL
Parque Jabaquara,JABAQUARA,ZONA SUL 1,SUL
Cidade Leonor,JABAQUARA,ZONA SUL 1,SUL
Jardim Lourdes,JABAQUARA,ZONA SUL 1,SUL
Vila Mascote,JABAQUARA,ZONA SUL 1,SUL
Jardim Mendes Gaia,JABAQUARA,ZONA SUL 1,SUL
Jardim Metropolitano,JABAQUARA,ZONA SUL 1,SUL
Vila Mira,JABAQUARA,ZONA SUL 1,SUL
Jardim Oriental,JABAQUARA,ZONA SUL 1,SUL
Vila Paulista,JABAQUARA,ZONA SUL 1,SUL
Vila Santa Catarina,JABAQUARA,ZONA SUL 1,SUL
Jardim São Martinho,JABAQUARA,ZONA SUL 1,SUL
Jardim Scaff,JABAQUARA,ZONA SUL 1,SUL
Jardim Sul São Paulo,JABAQUARA,ZONA SUL 1,SUL
Cidade Vargas,JABAQUARA,ZONA SUL 1,SUL
Vila da Várzea,JABAQUARA,ZONA SUL 1,SUL
Vila Helena,MOEMA,ZONA SUL 1,SUL
Parque Ibirapuera,MOEMA,ZONA SUL 1,SUL
Indianópolis,MOEMA,ZONA SUL 1,SUL
Jardim Luzitânia,MOEMA,ZONA SUL 1,SUL
Moema,MOEMA,ZONA SUL 1,SUL
Vila Nova Conceição,MOEMA,ZONA SUL 1,SUL
Jardim Novo Mundo,MOEMA,ZONA SUL 1,SUL
Paraíso,MOEMA,ZONA SUL 1,SUL
Vila Uberabinha,MOEMA,ZONA SUL 1,SUL
Jardim Ana Maria,SACOMÃ,ZONA SUL 1,SUL
Vila Anchieta,SACOMÃ,ZONA SUL 1,SUL
Vila Arapuá,SACOMÃ,ZONA SUL 1,SUL
Jardim dos Bandeirantes,SACOMÃ,ZONA SUL 1,SUL
Jardim Botucatu,SACOMÃ,ZONA SUL 1,SUL
Parque Bristol,SACOMÃ,ZONA SUL 1,SUL
Cohab Caraguatá,SACOMÃ,ZONA SUL 1,SUL
Vila Caraguatá,SACOMÃ,ZONA SUL 1,SUL
Jardim Celeste,SACOMÃ,ZONA SUL 1,SUL
Jardim Climax,SACOMÃ,ZONA SUL 1,SUL
Vila Conde do Pinhal,SACOMÃ,ZONA SUL 1,SUL
Vila Cristália,SACOMÃ,ZONA SUL 1,SUL
Vila Cristina,SACOMÃ,ZONA SUL 1,SUL
Jardim Elísio,SACOMÃ,ZONA SUL 1,SUL
Parque Fongaro,SACOMÃ,ZONA SUL 1,SUL
Vila Heliópolis,SACOMÃ,ZONA SUL 1,SUL
Vila Henrique Cunha Bueno,SACOMÃ,ZONA SUL 1,SUL
Jardim Imperador,SACOMÃ,ZONA SUL 1,SUL
Vila Independência,SACOMÃ,ZONA SUL 1,SUL
Jardim Liar,SACOMÃ,ZONA SUL 1,SUL
Vila Liviero,SACOMÃ,ZONA SUL 1,SUL
Jardim Maria Estela,SACOMÃ,ZONA SUL 1,SUL
Vila Marte,SACOMÃ,ZONA SUL 1,SUL
Vila das Mercês,SACOMÃ,ZONA SUL 1,SUL
Vila Moinho Velho,SACOMÃ,ZONA SUL 1,SUL
Jardim Natália,SACOMÃ,ZONA SUL 1,SUL
Jardim Patente Novo,SACOMÃ,ZONA SUL 1,SUL
Jardim Patente,SACOMÃ,ZONA SUL 1,SUL
Vila Quaquá,SACOMÃ,ZONA SUL 1,SUL
Vila Romano,SACOMÃ,ZONA SUL 1,SUL
Vila Sacomã,SACOMÃ,ZONA SUL 1,SUL
Jardim Santa Cruz,SACOMÃ,ZONA SUL 1,SUL
Jardim Santa Emília,SACOMÃ,ZONA SUL 1,SUL
Vila Santa Tereza,SACOMÃ,ZONA SUL 1,SUL
Jardim Santo Antônio do Cursino,SACOMÃ,ZONA SUL 1,SUL
São João Clímaco,SACOMÃ,ZONA SUL 1,SUL
Jardim São Savério,SACOMÃ,ZONA SUL 1,SUL
Jardim Seckler,SACOMÃ,ZONA SUL 1,SUL
Jardim Tropical,SACOMÃ,ZONA SUL 1,SUL
Vila Vera,SACOMÃ,ZONA SUL 1,SUL
Jardim Vergueiro,SACOMÃ,ZONA SUL 1,SUL
Vila Vermelha,SACOMÃ,ZONA SUL 1,SUL
Vila Araci,SAÚDE,ZONA SUL 1,SUL
Praça da Árvore,SAÚDE,ZONA SUL 1,SUL
Bosque Da Saúde,SAÚDE,ZONA SUL 1,SUL
Vila do Bosque,SAÚDE,ZONA SUL 1,SUL
Jardim Ceci,SAÚDE,ZONA SUL 1,SUL
Vila Cruzeiro do Sul,SAÚDE,ZONA SUL 1,SUL
Parque Imperial,SAÚDE,ZONA SUL 1,SUL
Chácara Inglesa,SAÚDE,ZONA SUL 1,SUL
Mirandópolis,SAÚDE,ZONA SUL 1,SUL
Vila Monte Alegre,SAÚDE,ZONA SUL 1,SUL
Vila Noca,SAÚDE,ZONA SUL 1,SUL
Planalto Paulista,SAÚDE,ZONA SUL 1,SUL
Vila São João,SAÚDE,ZONA SUL 1,SUL
São Judas,SAÚDE,ZONA SUL 1,SUL
Vila São Pedro,SAÚDE,ZONA SUL 1,SUL
Saúde,SAÚDE,ZONA SUL 1,SUL
Vila da Saúde,SAÚDE,ZONA SUL 1,SUL
Vila Afonso Celso,VILA MARIANA,ZONA SUL 1,SUL
Jardim Aurélia,VILA MARIANA,ZONA SUL 1,SUL
Conjunto dos Bancários,VILA MARIANA,ZONA SUL 1,SUL
Chácara Castelo,VILA MARIANA,ZONA SUL 1,SUL
Vila Clementino,VILA MARIANA,ZONA SUL 1,SUL
Jardim Glória,VILA MARIANA,ZONA SUL 1,SUL
Jardim Lutfala,VILA MARIANA,ZONA SUL 1,SUL
Jardim Vila Mariana,VILA MARIANA,ZONA SUL 1,SUL
Vila Mariana,VILA MARIANA,ZONA SUL 1,SUL
Paraíso,VILA MARIANA,ZONA SUL 1,SUL
Jardim Aliança,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Alva,ZONA SUL 2,ZONA SUL 2,SUL
Vila Andaluzia,ZONA SUL 2,ZONA SUL 2,SUL
Vila Angelina,ZONA SUL 2,ZONA SUL 2,SUL
Vila Anhanguera,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Araújo Almeida,ZONA SUL 2,ZONA SUL 2,SUL
Vila Arriete,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Beatriz,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Bélgica,ZONA SUL 2,ZONA SUL 2,SUL
Vila Bochiglieri,ZONA SUL 2,ZONA SUL 2,SUL
Vila Cabral,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Campina,ZONA SUL 2,ZONA SUL 2,SUL
Campininha,ZONA SUL 2,ZONA SUL 2,SUL
Campo Grande,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Campo Grande,ZONA SUL 2,ZONA SUL 2,SUL
Vila Campo Grande,ZONA SUL 2,ZONA SUL 2,SUL
Jardim do Carmo,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Castelo,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Consórcio,ZONA SUL 2,ZONA SUL 2,SUL
Vila Emir,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Ernestina,ZONA SUL 2,ZONA SUL 2,SUL
Vila Gaúcha,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Gea,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Hilton Santos,ZONA SUL 2,ZONA SUL 2,SUL
Vila Imaculada Conceição,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Ipê,ZONA SUL 2,ZONA SUL 2,SUL
Vila Isa,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Juá,ZONA SUL 2,ZONA SUL 2,SUL
Parque Residencial Júlia,ZONA SUL 2,ZONA SUL 2,SUL
Jurubatuba,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Luanda,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Manacá,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Marajoara,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Palmares,ZONA SUL 2,ZONA SUL 2,SUL
Pedreira,ZONA SUL 2,ZONA SUL 2,SUL
Jardim dos Prados,ZONA SUL 2,ZONA SUL 2,SUL
Vila Roli,ZONA SUL 2,ZONA SUL 2,SUL
Vila Romano,ZONA SUL 2,ZONA SUL 2,SUL
Conjunto Residencial Sabará,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Sabará,ZONA SUL 2,ZONA SUL 2,SUL
Parque Sabará,ZONA SUL 2,ZONA SUL 2,SUL
Vila Sabará,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Santa Branca,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Santa Cruz,ZONA SUL 2,ZONA SUL 2,SUL
Vila Santana,ZONA SUL 2,ZONA SUL 2,SUL
Vila São Pedro,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Silvana,ZONA SUL 2,ZONA SUL 2,SUL
Vila Sofia,ZONA SUL 2,ZONA SUL 2,SUL
Sítio Tapera,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Taquaral,ZONA SUL 2,ZONA SUL 2,SUL
Parque Industrial Taquaral,ZONA SUL 2,ZONA SUL 2,SUL
Jardim Ubirajara,ZONA SUL 2,ZONA SUL 2,SUL
Vila Alteza,CAMPO LIMPO,ZONA SUL 2,SUL
Vila América,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Ana Maria,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Anália,CAMPO LIMPO,ZONA SUL 2,SUL
Parque Arariba,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Bom Refúgio,CAMPO LIMPO,ZONA SUL 2,SUL
Campo Limpo,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Campo Limpo,CAMPO LIMPO,ZONA SUL 2,SUL
Capelinha,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Carioca,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Catanduva,CAMPO LIMPO,ZONA SUL 2,SUL
Parque Ipé,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Dorly,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Eledy,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Elisa,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Elisabeth,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Ernesto,CAMPO LIMPO,ZONA SUL 2,SUL
Parque Esmeralda,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Evana,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Faria Lima,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Ferreirinha,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Franca,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Helga,CAMPO LIMPO,ZONA SUL 2,SUL
Horto do Ipé,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Ingá,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Iracema,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Itamarati,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Jamaica,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Laranjal,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Leônidas Moreira,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Luzitânia,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Maria Sampaio,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Maria Tereza,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Maria Virginia,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Martinica,CAMPO LIMPO,ZONA SUL 2,SUL
Parque Mirassol,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Mitsutani,CAMPO LIMPO,ZONA SUL 2,SUL
Conjunto Habitacional Monet,CAMPO LIMPO,ZONA SUL 2,SUL
Morumbi do Sul,CAMPO LIMPO,ZONA SUL 2,SUL
Conjunto Residencial Morumbi,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Nadir,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Nelma,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Nossa Senhora Aparecida,CAMPO LIMPO,ZONA SUL 2,SUL
Chácara Nossa Senhora do Bom Conselho,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Nova Pirajussara,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Novo Oriente,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Olga,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Olinda,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Paris,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Piracuamã,CAMPO LIMPO,ZONA SUL 2,SUL
Pirajussara,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Pirajussara,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Pirajussara,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Prestes Maia,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Rebouças,CAMPO LIMPO,ZONA SUL 2,SUL
Parque Regina,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Rica,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Roni,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Rosana,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Samara,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Santa Efigênia,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim São Januário,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim São Mateus,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Taboão,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Tereza Rosa,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Umarizal,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Umuarama,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Vale das Virtudes,CAMPO LIMPO,ZONA SUL 2,SUL
Conjunto Habitacional Adventista,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Albano,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Aliança,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Alvorada,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Amália,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Ana,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Analícia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Atlântico,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Aurélio,CAPÃO REDONDO,ZONA SUL 2,SUL
Cidade Auxiliadora,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Avenida,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Residencial Bandeirantes,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Boa Esperança,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Campo de Fora,CAPÃO REDONDO,ZONA SUL 2,SUL
Capão Redondo,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Capão Redondo,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Cecy Madureira,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Clarice,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Clélia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim do Colégio,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Comercial,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Cristina,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Dinah,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Dom José,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Eledy,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Emília,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque do Engenho,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Ester,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Fazzione,CAPÃO REDONDO,ZONA SUL 2,SUL
Conjunto Habitacional Feitiço da Vila,CAPÃO REDONDO,ZONA SUL 2,SUL
Conjunto Habitacional Parque Fernanda,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Fernanda,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Fernandes,CAPÃO REDONDO,ZONA SUL 2,SUL
